1,2,8,4
1,2,8,17
1,2,8,2
1,2,8,10
1,2,8,10
1,2,8,13
1,2,8,26
1,2,8,6
1,2,8,10
1,2,8,25
1,2,8,17
1,2,8,13
1,2,8,23
1,2,8,25
1,2,8,2
1,2,8,7
1,2,8,8
1,2,8,22
1,2,8,23
1,2,8,25
1,2,8,3
1,2,8,5
1,2,8,6
1,2,8,7
1,2,8,8
1,2,8,3
1,2,8,5
1,2,8,6
1,2,8,8
1,2,8,11
1,2,8,12
1,2,8,17
1,2,8,23
1,2,8,24
1,2,8,14
1,2,8,21
1,2,8,26
1,2,8,10
1,2,8,16
1,2,8,29
1,2,8,10
1,2,8,13
1,2,8,15
1,2,8,23
1,2,8,5
1,2,8,19
1,2,8,24
1,2,8,29
1,2,8,22
1,2,8,8
1,2,8,7
1,2,8,8
1,2,8,15
1,2,8,19
1,2,8,20
1,2,8,23
1,2,8,27
1,2,8,9
1,2,8,16
1,2,8,10
1,2,8,15
1,2,8,20
1,2,8,24
1,2,8,7
1,2,8,9
1,2,8,28
1,2,8,4
1,2,8,16
1,2,8,22
1,2,8,29
1,2,8,7
1,2,8,25
1,2,8,4
1,2,8,6
1,2,8,16
1,2,8,27
1,2,8,28
1,2,8,29
1,2,8,5
1,2,8,11
1,2,8,21
1,2,8,16
1,2,8,10
1,2,8,5
1,2,8,7
1,2,8,27
1,2,8,19
1,2,8,24
1,2,8,3
1,2,8,10
1,2,8,11
1,2,8,14
1,2,8,15
1,2,8,25
1,2,8,22
1,2,8,15
1,2,8,1
1,2,8,16
1,2,8,17
1,3,8,16
1,3,8,18
1,3,8,30
1,3,8,11
1,3,8,22
1,3,8,26
1,3,8,27
1,3,8,22
1,3,8,9
1,3,8,12
1,3,8,16
1,3,8,21
1,3,8,22
1,3,8,23
1,3,8,27
1,3,8,30
1,3,8,1
1,3,8,12
1,3,8,17
1,3,8,20
1,3,8,22
1,3,8,1
1,3,8,20
1,3,8,1
1,3,8,6
1,3,8,15
1,3,8,25
1,3,8,25
1,3,8,3
1,3,8,14
1,3,8,18
1,3,8,8
1,3,8,18
1,3,8,19
1,3,8,26
1,3,8,12
1,3,8,25
1,3,8,14
1,3,8,15
1,3,8,17
1,3,8,18
1,3,8,21
1,3,8,24
1,3,8,9
1,3,8,20
1,3,8,29
1,3,8,4
1,3,8,13
1,3,8,20
1,3,8,2
1,3,8,3
1,3,8,17
1,3,8,4
1,3,8,12
1,3,8,21
1,3,8,31
1,3,8,28
1,3,8,29
1,3,8,1
1,3,8,23
1,3,8,3
1,3,8,18
1,3,8,28
1,3,8,18
1,3,8,7
1,3,8,11
1,3,8,15
1,3,8,31
1,3,8,12
1,3,8,28
1,3,8,29
1,3,8,1
1,3,8,4
1,3,8,14
1,3,8,28
1,3,8,30
1,3,8,16
1,3,8,24
1,3,8,14
1,3,8,15
1,3,8,24
1,3,8,2
1,3,8,12
1,3,8,18
1,3,8,27
1,3,8,5
1,3,8,18
1,3,8,20
1,3,8,3
1,3,8,10
1,3,8,13
1,3,8,15
1,3,8,22
1,3,8,23
1,3,8,25
1,3,8,31
1,3,8,12
1,3,8,16
1,3,8,22
1,3,8,4
1,3,8,3
1,3,8,6
1,3,8,14
1,3,8,17
1,3,8,3
1,3,8,5
1,3,8,11
1,3,8,25
1,3,8,26
1,3,8,11
1,3,8,19
1,3,8,27
1,3,8,29
1,3,8,31
1,3,8,2
1,3,8,2
1,3,8,19
1,3,8,29
1,3,8,2
1,3,8,5
1,3,8,6
1,3,8,10
1,3,8,29
1,3,8,5
1,3,8,15
1,3,8,16
1,3,8,18
1,3,8,30
1,3,8,5
1,3,8,2
1,3,8,14
1,3,8,8
1,3,8,13
1,3,8,14
1,3,8,15
1,3,8,2
1,3,8,8
1,3,8,10
1,3,8,13
1,3,8,22
1,3,8,27
1,3,8,10
1,3,8,13
1,3,8,3
1,3,8,8
1,3,8,11
1,3,8,22
1,3,8,26
1,3,8,31
1,3,8,23
1,3,8,23
1,3,8,26
1,3,8,23
1,3,8,13
1,3,8,2
1,3,8,20
1,3,8,26
1,3,8,27
1,3,8,31
1,3,8,22
1,3,8,3
1,3,8,9
1,3,8,10
1,3,8,28
1,3,8,5
1,3,8,6
1,3,8,8
1,3,8,14
1,3,8,20
1,3,8,25
1,3,8,3
1,3,8,7
1,3,8,9
1,3,8,14
1,3,8,16
1,3,8,19
1,3,8,26
1,3,8,21
1,3,8,22
1,3,8,23
1,3,8,29
1,3,8,8
1,3,8,9
1,3,8,11
1,3,8,12
1,3,8,13
1,3,8,17
1,3,8,6
1,3,8,13
1,3,8,17
1,3,8,22
1,3,8,27
1,3,8,1
1,3,8,7
1,3,8,24
1,3,8,25
1,3,8,28
1,3,8,1
1,3,8,2
1,3,8,4
1,3,8,14
1,3,8,30
1,3,8,22
1,3,8,20
1,3,8,5
1,3,8,9
1,3,8,14
1,3,8,30
1,3,8,15
1,3,8,22
1,3,8,30
1,3,8,31
1,3,8,2
1,3,8,18
1,3,8,7
1,3,8,28
1,3,8,23
1,3,8,25
1,3,8,5
1,3,8,22
1,3,8,24
1,3,8,5
1,3,8,24
1,3,8,28
1,3,8,15
1,3,8,28
1,3,8,28
1,3,8,14
1,3,8,18
1,3,8,19
1,3,8,21
1,3,8,16
1,3,8,1
1,3,8,4
1,3,8,22
1,3,8,28
1,3,8,8
1,3,8,14
1,3,8,23
1,3,8,11
1,3,8,18
1,3,8,25
1,3,8,31
1,3,8,3
1,3,8,2
1,3,8,3
1,3,8,7
1,3,8,9
1,3,8,20
1,3,8,24
1,3,8,21
1,3,8,12
1,3,8,15
1,3,8,25
1,3,8,17
1,3,8,24
1,3,8,27
1,3,8,29
1,3,8,7
1,3,8,25
1,3,8,26
1,3,8,30
1,3,8,17
1,3,8,12
1,3,8,15
1,3,8,11
1,3,8,31
1,3,8,19
1,3,8,20
1,3,8,14
1,3,8,31
1,3,8,12
1,3,8,22
1,3,8,22
1,3,8,4
1,3,8,10
1,3,8,23
1,3,8,25
1,3,8,28
1,3,8,19
1,3,8,20
1,3,8,23
1,3,8,31
1,3,8,23
1,3,8,4
1,3,8,9
1,3,8,13
1,3,8,15
1,3,8,22
1,3,8,29
1,3,8,2
1,3,8,6
1,3,8,16
1,3,8,18
1,3,8,28
1,3,8,31
1,3,8,26
1,3,8,29
1,3,8,2
1,3,8,9
1,3,8,12
1,3,8,16
1,3,8,17
1,3,8,19
1,3,8,25
1,3,8,30
1,3,8,17
1,3,8,22
1,3,8,27
1,3,8,31
1,3,8,4
1,3,8,6
1,3,8,7
1,3,8,8
1,3,8,15
1,3,8,22
1,3,8,2
1,3,8,6
1,3,8,15
1,3,8,24
1,3,8,25
1,3,8,16
1,3,8,11
1,3,8,7
1,3,8,1
1,3,8,10
1,3,8,18
1,3,8,19
1,3,8,23
1,3,8,27
1,3,8,14
1,3,8,22
1,3,8,1
1,3,8,19
1,3,8,19
1,3,8,20
1,3,8,30
1,3,8,2
1,3,8,4
1,3,8,13
1,3,8,27
1,3,8,1
1,3,8,3
1,3,8,15
1,3,8,20
1,3,8,19
1,3,8,22
1,3,8,23
1,3,8,31
1,3,8,31
1,3,8,6
1,3,8,9
1,3,8,13
1,3,8,29
1,3,8,3
1,3,8,7
1,3,8,29
1,3,8,11
1,3,8,22
1,3,8,5
1,3,8,20
1,3,8,30
1,3,8,4
1,3,8,11
1,3,8,22
1,3,8,3
1,3,8,14
1,3,8,27
1,3,8,28
1,3,8,3
1,3,8,10
1,3,8,22
1,3,8,30
1,3,8,31
1,3,8,2
1,3,8,3
1,3,8,7
1,3,8,16
1,3,8,13
1,3,8,5
1,3,8,9
1,3,8,14
1,3,8,20
1,3,8,4
1,3,8,3
1,3,8,15
1,3,8,30
1,3,8,4
1,3,8,16
1,3,8,26
1,3,8,7
1,3,8,2
1,3,8,22
1,3,8,7
1,3,8,15
1,3,8,5
1,3,8,10
1,3,8,28
1,3,8,15
1,3,8,12
1,3,8,16
1,3,8,22
1,3,8,4
1,3,8,6
1,3,8,1
1,3,8,16
1,3,8,19
1,3,8,5
1,3,8,17
1,3,8,30
1,3,8,31
1,3,8,7
1,3,8,9
1,3,8,11
1,3,8,19
1,3,8,21
1,3,8,22
1,3,8,6
1,3,8,7
1,3,8,24
1,3,8,6
1,3,8,7
1,3,8,19
1,3,8,20
1,3,8,5
1,3,8,18
1,3,8,10
1,3,8,27
1,3,8,7
1,3,8,22
1,3,8,28
1,3,8,28
1,3,8,18
1,3,8,2
1,3,8,6
1,3,8,13
1,3,8,20
1,3,8,25
1,3,8,8
1,3,8,13
1,3,8,15
1,3,8,24
1,3,8,26
1,3,8,13
1,3,8,18
1,3,8,4
1,3,8,6
1,3,8,21
1,3,8,24
1,3,8,5
1,3,8,25
1,3,8,27
1,3,8,28
1,3,8,30
1,3,8,2
1,3,8,24
1,3,8,27
1,3,8,29
1,3,8,16
1,3,8,18
1,3,8,22
1,3,8,24
1,3,8,13
1,3,8,15
1,3,8,24
1,3,8,29
1,3,8,31
1,3,8,15
1,3,8,25
1,3,8,13
1,3,8,10
1,3,8,29
1,3,8,30
1,3,8,3
1,3,8,31
1,3,8,9
1,3,8,10
1,3,8,28
1,3,8,31
1,3,8,2
1,3,8,7
1,3,8,26
1,3,8,28
1,3,8,10
1,3,8,17
1,3,8,2
1,3,8,17
1,3,8,27
1,3,8,4
1,3,8,15
1,3,8,19
1,3,8,20
1,3,8,8
1,3,8,14
1,3,8,10
1,3,8,16
1,3,8,29
1,3,8,12
1,3,8,30
1,3,8,4
1,3,8,7
1,3,8,9
1,3,8,13
1,3,8,19
1,3,8,5
1,3,8,6
1,3,8,9
1,3,8,10
1,3,8,14
1,3,8,15
1,3,8,16
1,3,8,20
1,3,8,30
1,3,8,2
1,3,8,4
1,3,8,19
1,3,8,31
1,3,8,25
1,3,8,27
1,3,8,2
1,3,8,6
1,3,8,10
1,3,8,12
1,3,8,14
1,3,8,20
1,3,8,11
1,3,8,9
1,3,8,14
1,3,8,25
1,3,8,15
1,3,8,21
1,3,8,26
1,3,8,30
1,3,8,18
1,3,8,20
1,3,8,16
1,3,8,17
1,3,8,19
1,3,8,26
1,3,8,4
1,3,8,16
1,3,8,4
1,3,8,5
1,3,8,6
1,3,8,26
1,3,8,29
1,3,8,8
1,3,8,28
1,3,8,20
1,3,8,29
1,3,8,24
1,3,8,25
1,3,8,2
1,3,8,4
1,3,8,9
1,3,8,14
1,3,8,15
1,3,8,16
1,3,8,23
1,3,8,7
1,3,8,8
1,3,8,19
1,3,8,20
1,3,8,21
1,3,8,24
1,3,8,30
1,3,8,1
1,3,8,3
1,3,8,11
1,3,8,15
1,3,8,31
1,3,8,4
1,3,8,11
1,3,8,18
1,3,8,21
1,3,8,23
1,3,8,1
1,3,8,3
1,3,8,4
1,3,8,6
1,3,8,14
1,3,8,18
1,3,8,25
1,3,8,30
1,3,8,9
1,3,8,12
1,3,8,13
1,3,8,2
1,3,8,21
1,3,8,24
1,3,8,10
1,3,8,13
1,3,8,2
1,3,8,9
1,3,8,20
1,3,8,1
1,3,8,18
1,3,8,27
1,3,8,3
1,3,8,26
1,3,8,4
1,3,8,9
1,3,8,8
1,3,8,21
1,3,8,4
1,3,8,8
1,3,8,10
1,3,8,13
1,3,8,21
1,3,8,17
1,3,8,19
1,3,8,21
1,3,8,23
1,3,8,23
1,3,8,29
1,3,8,30
1,3,8,31
1,3,8,12
1,3,8,17
1,3,8,23
1,3,8,31
1,3,8,6
1,3,8,10
1,3,8,13
1,3,8,18
1,3,8,23
1,3,8,10
1,3,8,18
1,3,8,28
1,3,8,27
1,3,8,3
1,3,8,4
1,3,8,6
1,3,8,9
1,3,8,16
1,3,8,18
1,3,8,31
1,3,8,1
1,3,8,22
1,3,8,24
1,3,8,25
1,3,8,30
1,3,8,5
1,3,8,16
1,3,8,18
1,3,8,29
1,3,8,8
1,3,8,9
1,3,8,15
1,3,8,2
1,3,8,8
1,3,8,10
1,3,8,26
1,3,8,31
1,3,8,3
1,3,8,16
1,3,8,20
1,3,8,24
1,3,8,5
1,3,8,24
1,3,8,2
1,3,8,6
1,3,8,8
1,3,8,29
1,3,8,6
1,3,8,7
1,3,8,24
1,3,8,28
1,3,8,30
1,3,8,15
1,3,8,20
1,3,8,23
1,3,8,2
1,3,8,12
1,3,8,28
1,3,8,30
1,3,8,31
1,3,8,11
1,3,8,31
1,3,8,15
1,3,8,18
1,3,8,19
1,3,8,28
1,3,8,29
1,3,8,19
1,3,8,20
1,3,8,26
1,3,8,27
1,3,8,26
1,3,8,4
1,3,8,12
1,3,8,15
1,3,8,25
1,3,8,30
1,3,8,3
1,3,8,10
1,3,8,12
1,3,8,13
1,3,8,16
1,3,8,20
1,3,8,24
1,3,8,28
1,3,8,6
1,3,8,16
1,3,8,24
1,3,8,12
1,3,8,23
1,3,8,24
1,3,8,25
1,3,8,1
1,3,8,4
1,3,8,10
1,3,8,25
1,3,8,12
1,3,8,21
1,3,8,29
1,3,8,30
1,3,8,2
1,3,8,5
1,3,8,9
1,3,8,26
1,3,8,28
1,3,8,30
1,3,8,12
1,3,8,15
1,3,8,17
1,3,8,20
1,3,8,30
1,3,8,6
1,3,8,2
1,3,8,18
1,3,8,21
1,3,8,24
1,3,8,8
1,3,8,15
1,3,8,17
1,3,8,20
1,3,8,4
1,3,8,7
1,3,8,9
1,3,8,12
1,3,8,7
1,3,8,9
1,3,8,15
1,3,8,18
1,3,8,20
1,3,8,2
1,3,8,12
1,3,8,26
1,3,8,28
1,3,8,1
1,3,8,5
1,3,8,6
1,3,8,8
1,3,8,10
1,3,8,27
1,3,8,7
1,3,8,10
1,3,8,18
1,3,8,15
1,3,8,18
1,3,8,20
1,3,8,30
1,3,8,1
1,3,8,3
1,3,8,9
1,3,8,16
1,3,8,29
1,3,8,10
1,3,8,13
1,3,8,11
1,3,8,14
1,3,8,31
1,3,8,2
1,3,8,4
1,3,8,12
1,3,8,20
1,3,8,7
1,3,8,27
1,3,8,4
1,3,8,5
1,3,8,26
1,3,8,27
1,3,8,4
1,3,8,5
1,3,8,16
1,3,8,17
1,3,8,25
1,3,8,27
1,3,8,1
1,3,8,30
1,3,8,26
1,3,8,28
1,3,8,29
1,3,8,29
1,3,8,2
1,3,8,14
1,3,8,11
1,3,8,17
1,3,8,21
1,3,8,12
1,3,8,14
1,3,8,17
1,3,8,30
1,3,8,13
1,3,8,16
1,3,8,17
1,3,8,19
1,3,8,26
1,3,8,29
1,3,8,30
1,3,8,26
1,3,8,4
1,3,8,7
1,3,8,22
1,3,8,25
1,3,8,29
1,3,8,2
1,3,8,26
1,3,8,6
1,3,8,6
1,3,8,11
1,3,8,19
1,3,8,25
1,3,8,3
1,3,8,29
1,3,8,18
1,3,8,11
1,3,8,13
1,3,8,15
1,3,8,28
1,3,8,30
1,3,8,15
1,3,8,17
1,3,8,10
1,3,8,13
1,3,8,16
1,3,8,28
1,3,8,13
1,3,8,11
1,3,8,17
1,3,8,19
1,3,8,29
1,3,8,20
1,3,8,23
1,3,8,25
1,3,8,26
1,3,8,28
1,3,8,12
1,3,8,1
1,3,8,5
1,3,8,25
1,3,8,6
1,3,8,10
1,3,8,1
1,3,8,2
1,3,8,3
1,3,8,5
1,3,8,8
1,3,8,17
1,3,8,25
1,3,8,2
1,3,8,9
1,3,8,26
1,3,8,10
1,3,8,16
1,3,8,23
1,3,8,31
1,3,8,2
1,3,8,16
1,3,8,9
1,3,8,2
1,3,8,10
1,3,8,28
1,3,8,31
1,3,8,1
1,3,8,6
1,3,8,5
1,3,8,12
1,3,8,31
1,3,8,10
1,3,8,4
1,3,8,29
1,3,8,1
1,3,8,3
1,3,8,4
1,3,8,23
1,3,8,27
1,3,8,3
1,3,8,16
1,3,8,17
1,3,8,19
1,3,8,25
1,3,8,26
1,3,8,27
1,3,8,30
1,3,8,22
1,3,8,7
1,3,8,17
1,3,8,18
1,3,8,26
1,3,8,29
1,3,8,31
1,3,8,2
1,3,8,22
1,3,8,9
1,3,8,10
1,3,8,13
1,3,8,18
1,3,8,20
1,3,8,7
1,3,8,12
1,3,8,22
1,3,8,2
1,3,8,12
1,3,8,24
1,3,8,13
1,3,8,15
1,3,8,4
1,3,8,7
1,3,8,17
1,3,8,5
1,3,8,3
1,3,8,18
1,3,8,29
1,3,8,25
1,3,8,31
1,3,8,14
1,3,8,24
1,3,8,31
1,3,8,6
1,3,8,9
1,3,8,12
1,3,8,18
1,3,8,7
1,3,8,10
1,3,8,19
1,3,8,24
1,3,8,26
1,3,8,7
1,3,8,18
1,3,8,6
1,3,8,7
1,3,8,22
1,3,8,29
1,3,8,26
1,3,8,27
1,3,8,23
1,3,8,28
1,3,8,30
1,3,8,4
1,3,8,30
1,3,8,31
1,3,8,11
1,3,8,7
1,3,8,27
1,3,8,28
1,3,8,31
1,3,8,1
1,3,8,18
1,3,8,24
1,3,8,30
1,3,8,8
1,3,8,12
1,3,8,21
1,3,8,29
1,3,8,1
1,3,8,2
1,3,8,3
1,3,8,4
1,3,8,6
1,3,8,21
1,3,8,25
1,3,8,1
1,3,8,13
1,3,8,16
1,3,8,23
1,3,8,30
1,3,8,13
1,3,8,19
1,3,8,24
1,3,8,12
1,3,8,13
1,3,8,17
1,3,8,10
1,3,8,31
1,3,8,3
1,3,8,6
1,3,8,13
1,3,8,15
1,3,8,24
1,3,8,4
1,3,8,15
1,3,8,28
1,3,8,7
1,3,8,10
1,3,8,26
1,3,8,22
1,3,8,2
1,3,8,5
1,3,8,19
1,3,8,7
1,3,8,24
1,3,8,26
1,3,8,27
1,3,8,28
1,3,8,8
1,3,8,9
1,3,8,10
1,3,8,19
1,3,8,21
1,3,8,31
1,3,8,10
1,3,8,17
1,3,8,8
1,3,8,14
1,3,8,29
1,3,8,31
1,3,8,1
1,3,8,17
1,3,8,23
1,3,8,24
1,3,8,5
1,3,8,1
1,3,8,13
1,3,8,14
1,3,8,26
1,3,8,28
1,3,8,29
1,3,8,30
1,3,8,30
1,3,8,19
1,3,8,25
1,3,8,21
1,3,8,22
1,3,8,25
1,3,8,2
1,3,8,5
1,3,8,10
1,3,8,23
1,3,8,26
1,3,8,31
1,3,8,23
1,3,8,29
1,3,8,5
1,3,8,7
1,3,8,10
1,3,8,22
1,3,8,9
1,3,8,14
1,3,8,27
1,3,8,29
1,3,8,30
1,3,8,12
1,3,8,14
1,3,8,15
1,3,8,28
1,3,8,7
1,3,8,21
1,3,8,16
1,3,8,20
1,3,8,27
1,3,8,29
1,3,8,24
1,3,8,10
1,3,8,18
1,3,8,5
1,3,8,10
1,3,8,12
1,3,8,22
1,3,8,24
1,3,8,26
1,3,8,30
1,3,8,3
1,3,8,7
1,3,8,9
1,3,8,12
1,3,8,14
1,3,8,21
1,3,8,28
1,3,8,30
1,3,8,31
1,3,8,23
1,3,8,24
1,3,8,31
1,3,8,28
1,3,8,5
1,3,8,26
1,3,8,27
1,3,8,5
1,3,8,26
1,3,8,29
1,3,8,1
1,3,8,15
1,3,8,20
1,3,8,27
1,3,8,29
1,3,8,11
1,3,8,20
1,3,8,10
1,3,8,5
1,3,8,13
1,3,8,14
1,3,8,19
1,3,8,22
1,3,8,24
1,3,8,2
1,3,8,11
1,3,8,3
1,3,8,27
1,3,8,29
1,3,8,4
1,3,8,9
1,3,8,11
1,3,8,12
1,3,8,27
1,3,8,31
1,3,8,8
1,3,8,28
1,3,8,29
1,3,8,19
1,3,8,1
1,3,8,18
1,3,8,24
1,3,8,30
1,3,8,11
1,3,8,30
1,3,8,1
1,3,8,7
1,3,8,12
1,3,8,14
1,3,8,20
1,3,8,22
1,3,8,1
1,3,8,16
1,3,8,15
1,3,8,29
1,3,8,1
1,3,8,23
1,3,8,19
1,3,8,6
1,3,8,30
1,3,8,20
1,3,8,7
1,3,8,9
1,3,8,14
1,3,8,25
1,3,8,26
1,3,8,28
1,3,8,1
1,3,8,2
1,3,8,12
1,3,8,25
1,3,8,20
1,3,8,20
1,3,8,16
1,3,8,23
1,3,8,9
1,3,8,13
1,3,8,5
1,3,8,1
1,3,8,23
1,3,8,26
1,3,8,25
1,3,8,8
1,3,8,13
1,3,8,14
1,3,8,25
1,3,8,27
1,3,8,29
1,3,8,4
1,3,8,1
1,3,8,2
1,3,8,29
1,3,8,7
1,3,8,15
1,3,8,12
1,3,8,17
1,3,8,21
1,3,8,6
1,3,8,16
1,3,8,1
1,3,8,3
1,3,8,11
1,3,8,21
1,3,8,24
1,3,8,20
1,3,8,2
1,3,8,17
1,3,8,20
1,3,8,1
1,3,8,7
1,3,8,23
1,3,8,28
1,3,8,11
1,3,8,30
1,3,8,11
1,3,8,15
1,3,8,16
1,3,8,17
1,3,8,22
1,3,8,24
1,3,8,6
1,3,8,20
1,3,8,4
1,3,8,6
1,3,8,26
1,3,8,1
1,3,8,2
1,3,8,17
1,3,8,18
1,3,8,29
1,3,8,12
1,3,8,18
1,3,8,28
1,3,8,9
1,3,8,11
1,3,8,3
1,3,8,21
1,3,8,13
1,3,8,2
1,3,8,9
1,3,8,12
1,3,8,6
1,3,8,20
1,3,8,24
1,3,8,7
1,3,8,11
1,3,8,26
1,3,8,12
1,3,8,13
1,3,8,11
1,3,8,27
1,3,8,4
1,3,8,15
1,3,8,26
1,3,8,29
1,3,8,1
1,3,8,15
1,3,8,16
1,3,8,20
1,3,8,20
1,3,8,22
1,3,8,26
1,3,8,27
1,3,8,23
1,3,8,27
1,3,8,16
1,3,8,25
1,3,8,26
1,3,8,29
1,3,8,31
1,3,8,2
1,3,8,9
1,3,8,13
1,3,8,24
1,3,8,3
1,3,8,19
1,3,8,29
1,3,8,27
1,3,8,22
1,3,8,4
1,3,8,20
1,3,8,27
1,3,8,12
1,3,8,14
1,3,8,18
1,3,8,3
1,3,8,4
1,3,8,9
1,3,8,20
1,3,8,24
1,3,8,27
1,3,8,28
1,3,8,14
1,3,8,18
1,3,8,24
1,3,8,13
1,3,8,8
1,3,8,14
1,3,8,17
1,3,8,26
1,3,8,18
1,3,8,24
1,3,8,27
1,3,8,6
1,3,8,12
1,3,8,25
1,3,8,27
1,3,8,28
1,3,8,2
1,3,8,8
1,3,8,12
1,3,8,14
1,3,8,20
1,3,8,8
1,3,8,9
1,3,8,15
1,3,8,16
1,3,8,31
1,3,8,1
1,3,8,22
1,3,8,4
1,3,8,8
1,3,8,29
1,3,8,1
1,3,8,4
1,3,8,11
1,3,8,14
1,3,8,19
1,3,8,26
1,3,8,17
1,3,8,26
1,3,8,10
1,3,8,25
1,3,8,6
1,3,8,2
1,3,8,8
1,3,8,18
1,3,8,12
1,3,8,1
1,3,8,15
1,3,8,21
1,3,8,4
1,3,8,15
1,3,8,10
1,3,8,14
1,3,8,19
1,3,8,20
1,3,8,21
1,3,8,23
1,3,8,25
1,3,8,19
1,3,8,7
1,3,8,6
1,3,8,30
1,3,8,2
1,3,8,5
1,3,8,10
1,3,8,18
1,3,8,29
1,3,8,16
1,3,8,8
1,3,8,10
1,3,8,13
1,3,8,21
1,3,8,23
1,3,8,26
1,3,8,29
1,3,8,12
1,3,8,23
1,3,8,25
1,3,8,27
1,3,8,9
1,3,8,1
1,3,8,30
1,3,8,1
1,3,8,8
1,3,8,11
1,3,8,13
1,3,8,21
1,3,8,23
1,3,8,12
1,3,8,31
1,3,8,5
1,3,8,27
1,3,8,19
1,3,8,23
1,3,8,26
1,3,8,27
1,3,8,28
1,3,8,30
1,3,8,30
1,3,8,4
1,3,8,15
1,3,8,21
1,3,8,22
1,3,8,21
1,3,8,29
1,3,8,11
1,3,8,12
1,3,8,23
1,3,8,9
1,3,8,14
1,3,8,26
1,3,8,2
1,3,8,1
1,3,8,30
1,3,8,9
1,3,8,14
1,3,8,17
1,3,8,19
1,3,8,22
1,3,8,4
1,3,8,5
1,3,8,26
1,3,8,5
1,3,8,13
1,3,8,19
1,3,8,23
1,3,8,17
1,3,8,19
1,3,8,22
1,3,8,25
1,3,8,4
1,3,8,22
1,3,8,3
1,3,8,17
1,3,8,11
1,3,8,21
1,3,8,15
1,3,8,31
1,3,8,8
1,3,8,9
1,3,8,10
1,3,8,15
1,3,8,24
1,3,8,30
1,3,8,10
1,3,8,9
1,3,8,14
1,3,8,29
1,3,8,5
1,3,8,1
1,3,8,9
1,3,8,13
1,3,8,14
1,3,8,24
1,3,8,28
1,3,8,29
1,3,8,31
1,3,8,25
1,3,8,27
1,3,8,16
1,3,8,2
1,3,8,20
1,3,8,29
1,3,8,8
1,3,8,10
1,3,8,4
1,3,8,7
1,3,8,11
1,3,8,13
1,3,8,22
1,3,8,24
1,3,8,25
1,3,8,24
1,3,8,25
1,3,8,27
1,3,8,12
1,3,8,12
1,3,8,13
1,3,8,21
1,3,8,23
1,3,8,30
1,3,8,31
1,3,8,15
1,3,8,19
1,3,8,27
1,3,8,31
1,3,8,18
1,3,8,24
1,3,8,26
1,3,8,9
1,3,8,13
1,3,8,16
1,3,8,18
1,3,8,19
1,3,8,2
1,3,8,9
1,3,8,26
1,3,8,30
1,3,8,5
1,3,8,13
1,3,8,17
1,3,8,24
1,3,8,11
1,3,8,22
1,3,8,13
1,3,8,13
1,3,8,14
1,3,8,17
1,3,8,19
1,3,8,24
1,3,8,30
1,3,8,2
1,3,8,31
1,3,8,27
1,3,8,3
1,3,8,10
1,3,8,16
1,3,8,29
1,3,8,9
1,3,8,17
1,3,8,5
